（父）ASIN,（子）ASIN,商品名称,SKU,会话次数 – 移动应用,会话次数 – 移动应用 – B2B,会话次数 – 浏览器,会话次数 – 浏览器 – B2B,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 移动应用,会话百分比 – 移动应用 – B2B,会话百分比 – 浏览器,会话百分比 – 浏览器 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 移动应用,页面浏览量 – 移动应用 – B2B,页面浏览量 – 浏览器,页面浏览量 – 浏览器 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 移动应用,页面浏览量百分比 – 移动应用 – B2B,页面浏览量百分比 – 浏览器,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B08XXHWMH7,B09155KNZY,UOZZI BEDDING 3 Piece Reversible Quilt Set Gray Branch Queen Full Size 88x88 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season (1 Quilt+ 2 Shams),UQT110-Q,146,0,67,1,213,1,1.43%,0.00%,1.68%,1.59%,1.50%,0.53%,196,0,93,1,289,1,1.49%,0.00%,1.82%,1.58%,0.41%,99.65%,100.00%,5,0,2.35%,0.00%,US$199.95,US$0.00,5,0
B0BRN8J9X9,B099MY6VVH,3 Pieces Crib Bedding Set Baby Ruffle Quilted Comforter with Fitted Sheet and Pillow - Cute Ruffled Shabby Chic Bedding Soft Blanket Design Pink,UCBS-03,149,2,49,0,198,2,1.46%,1.59%,1.23%,0.00%,1.39%,1.06%,167,2,60,0,227,2,1.27%,1.22%,1.17%,1.24%,0.82%,100.00%,100.00%,5,1,2.53%,50.00%,US$149.95,US$29.99,5,1
B094QRWNTJ,B09VC4QY1L,"100% Cotton 4 Pieces Pink Flowers Toddler Bedding Set with Pink Yellow White Dark Red Flowers Includes Adorable Quilted Floral Comforter, Pink Fitted Sheet, Top Sheet, and Pillow Case for Boys Girls",UCMTBS-08,71,1,11,0,82,1,0.70%,0.79%,0.28%,0.00%,0.58%,0.53%,108,1,25,0,133,1,0.82%,0.61%,0.49%,0.73%,0.41%,100.00%,100.00%,5,0,6.10%,0.00%,US$128.97,US$0.00,5,0
B0BQV6HMN2,B01H1H41R2,3 Pieces Duvet Cover Set Blue Gray with White Triangles - Ultra Soft and Easy Care Design Summer Bedding Duvet Cover Queen Size 90x90+ 2 Pillow Shams- 800 TC with Zipper Closure 4 Corner Ties,WT07-T,32,1,19,0,51,1,0.31%,0.79%,0.48%,0.00%,0.36%,0.53%,39,1,26,0,65,1,0.30%,0.61%,0.51%,0.36%,0.41%,100.00%,100.00%,4,0,7.84%,0.00%,US$103.96,US$0.00,4,0
B07NW55BDC,B07NW47G7N,"UOZZI BEDDING All-Season Bright Pink Flannel Fleece Baby Small Blanket for Girls - Ultra Soft Plush Thin Kids Toddler Blanket for Crib, Pram Strollers, Sofa, Size 27""x39""",TZK21-70,34,0,22,0,56,0,0.33%,0.00%,0.55%,0.00%,0.39%,0.00%,54,0,29,0,83,0,0.41%,0.00%,0.57%,0.45%,0.00%,100.00%,0.00%,4,0,7.14%,0.00%,US$35.96,US$0.00,4,0
B08DXYYPHT,B07QYRV5FZ,UOZZI BEDDING 3 Piece Reversible Quilt Set King Size 102x90 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover Blanket for All Season Colorful Dots (1 Quilt+ 2 Shams),UQT38-K,154,2,83,3,237,5,1.51%,1.59%,2.08%,4.76%,1.67%,2.65%,202,2,98,3,300,5,1.53%,1.22%,1.92%,1.64%,2.06%,100.00%,100.00%,4,0,1.69%,0.00%,US$171.96,US$0.00,4,0
B08DXYYPHT,B07QYV47W2,UOZZI BEDDING 2 Piece Reversible Kids Quilt Set Twin Size 68x86 Soft Microfiber Lightweight Coverlet Bedspread Summer Comforter Set Bed Cover for All Season Colorful Dots (1 Quilt + 1 Shams),UQT38-T,79,2,38,2,117,4,0.77%,1.59%,0.95%,3.17%,0.82%,2.12%,102,2,47,3,149,5,0.77%,1.22%,0.92%,0.81%,2.06%,99.33%,100.00%,5,0,4.27%,0.00%,US$189.95,US$0.00,4,0
B07SQPMYT8,B07SQPP9PN,UOZZI BEDDING Unicorn 4 Pieces Toddler Bedding Set with Colorful Rainbow Stars Pink Cute Girls Toddler Bed Comforter Sheet Set and Pillowcases,UTBS-Pink,88,0,16,0,104,0,0.86%,0.00%,0.40%,0.00%,0.73%,0.00%,127,0,19,0,146,0,0.96%,0.00%,0.37%,0.80%,0.00%,100.00%,0.00%,4,0,3.85%,0.00%,US$119.96,US$0.00,4,0
B08DXYYPHT,B07TRKC348,White Quilt Set with Green Leaves Botanical Coverlet Bedspread 3 Pieces Queen Size Reversible Microfiber Summer Lightweight Style Colorful Colorful Quilt Bedding Set,UQT208-Q,140,2,73,0,213,2,1.37%,1.59%,1.83%,0.00%,1.50%,1.06%,159,2,82,0,241,2,1.21%,1.22%,1.60%,1.32%,0.82%,99.17%,100.00%,4,1,1.88%,50.00%,US$171.96,US$42.99,4,1
B08T6WTS5M,B08T6W8P9G,"UOZZI BEDDING 4 Pieces Toddler Bedding Set Dinosaur White Includes Comforter, Flat Sheet, Fitted Sheet and Pillowcase",UTBS-105,170,0,26,0,196,0,1.67%,0.00%,0.65%,0.00%,1.38%,0.00%,227,0,35,0,262,0,1.72%,0.00%,0.68%,1.43%,0.00%,100.00%,0.00%,4,0,2.04%,0.00%,US$139.96,US$0.00,4,0
